OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
50,Dewees Park,,5501 Ivanhoe Ave,"5501 IVANHOE AVE, BALTIMORE, MD, 21212",15.83814671,Y,BCRP,Neighborhood Park,Y,,Clifton,4,Northern,43,Unknown,689912.4302,4872.211073,14.31543268,95.27696059,1.309189268,0.207352976,P50
51,Douglas R. Morrison Park,,1719 Park Ave (Rear),"1719 PARK AVE, BALTIMORE, MD, 21217",0.072681191,Y,BCRP,Green Space,Y,,Druid Hill,7,Western,40,Unknown,3166.005371,243.4560507,69.37926786,99.26600955,0.544251805,0.000395572,P51
52,Easterwood Park,,1522 N Bentalou St,"1522 NORTH BENTALOU ST, BALTIMORE, MD, 21216",7.819256218,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,7,Western,40,Unknown,340608.1631,2422.773849,38.05657016,93.88603371,1.726373208,0.134990624,P52
53,Eden & Eager Park,,911 N Eden St,"911 NORTH EDEN ST, BALTIMORE, MD, 21205",0.715874994,Y,BCRP,Mini Park,Y,,Patterson,12,Central,45,Unknown,31183.63953,1242.846154,67.76928549,84.21475719,0.613402458,0.00439123,P53
54,Edgecombe Park,,2601 Edgecombe Cir N,"2601 EDGECOMBE CIR NORTH, BALTIMORE, MD, 21215",5.489964617,Y,BCRP,Neighborhood Park,Y,,Druid Hill,6,Northern,40,Yes,239143.8153,1990.954289,81.58684019,96.78649754,70.2660292,3.857611002,P54
55,Edgewood / Lyndhurst Park,,835 Allendale St,"835 ALLENDALE ST, BALTIMORE, MD, 21229",7.257893239,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,316155.0941,2537.469209,39.58401994,87.58112506,13.57270788,0.985100529,P55
56,Elgin Park,,2821 Gwynns Falls Pkwy,"2821 GWYNNS FALLS PKWY, BALTIMORE, MD, 21216",1.216288193,Y,BCRP,Green Space,Y,,Gwynns Falls,7,Western,40,Unknown,52981.72583,1070.198634,6.475077402,91.01321135,15.77022749,0.19181295,P56
57,Ellwood Avenue Park,Ellwood Park,420 N Ellwood Ave,"420 NORTH ELLWOOD AVE, BALTIMORE, MD, 21224",5.858268851,Y,BCRP,Neighborhood Park,Y,,Patterson,13,Southeastern,45,Unknown,255187.2121,3719.276025,20.68976807,87.88732223,5.286331545,0.309689992,P57
58,Elm Park,,3416 Elm Ave,"3416 ELM AVE, BALTIMORE, MD, 21211",0.263459891,Y,BCRP,Mini Park,Y,,Druid Hill,14,Northern,40,Unknown,11476.3587,433.3762352,25.65734354,80.83515136,6.613181627,0.01742322,P58
59,Elmley Avenue Park,,3347 Cliftmont Ave (Rear),"3347 CLIFTMONT AVE, BALTIMORE, MD, 21213",1.408791943,Y,BCRP,Mini Park,Y,,Clifton,13,Eastern,45,Unknown,61367.22235,1352.960837,21.16911036,69.87781418,8.786961014,0.123790989,P59
60,Eutaw Place Median Park,,1200 - 2000 Eutaw Pl,"2000 EUTAW PL, BALTIMORE, MD, 21217",5.442804492,Y,BCRP,Neighborhood Park,Y,,Druid Hill,"7, 11",Western,40,Unknown,237089.5114,7364.114118,61.62069101,88.79113917,63.48569179,3.455429728,P60
61,Evesham Avenue Park,,Northern Pkwy & Clearspring Rd,"EAST NORTHERN PKWY & CLEARSPRING RD, BALTIMORE, MD, 21212",4.113817343,Y,BCRP,Neighborhood Park,Y,,Clifton,4,Northeastern,43,Unknown,179198.6006,3468.940803,79.68510552,97.53801514,68.96540302,2.837133407,P61
62,Farring Baybrook Park,Duane Avenue Park,4501 Fairing Ct,"4501 FAIRING CT, BALTIMORE, MD, 21225",91.18422487,Y,BCRP,Citywide Park,Y,,Carroll,10,Southern,46,Unknown,3972000.724,20748.33621,26.64387124,90.00924992,22.25747217,20.29546583,P62
63,Fawcett & Hampden Park,,401 Fawcett St,"401 FAWCETT ST, BALTIMORE, MD, 21211",0.124995923,Y,BCRP,Mini Park,Y,,Druid Hill,12,Northern,43,Unknown,5444.84436,289.3613075,40.4231873,47.02814575,26.34709773,0.032933061,P63
64,Federal Hill Park,,300 Warren Ave,"300 WARREN AVE, BALTIMORE, MD, 21230",10.63844115,Y,BCRP,Citywide Park,Y,,Carroll,11,Southern,46,Yes,463412.35,3373.094888,23.71685911,89.5749016,22.08292944,2.349298247,P64
65,Ferry Bar Park,,2700 Light St,"2700 LIGHT ST, BALTIMORE, MD, 21230",0.569826639,Y,BCRP,Mini Park,Y,,Carroll,11,Southern,46,Unknown,24821.7475,646.2380236,5.148043942,99.99996607,85.30039666,0.486068272,P65
66,F. Scott Fitzgerald Park,,1627 Bolton St,"1627 BOLTON ST, BALTIMORE, MD, 21217",0.299291283,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,13037.18048,462.3957376,55.62099461,89.24738083,16.30970091,0.048813904,P66
67,Florence Cummins Park,,2501 Maisel St,"2501 MAISEL ST, BALTIMORE, MD, 21230",4.368502121,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Unknown,190292.7135,1726.439412,8.862670574,92.90303216,11.83162395,0.516868878,P67
68,Flowerton Road Park,,4249 Flowerton Rd (Rear),"4249 FLOWERTON RD, BALTIMORE, MD, 21229",0.290314837,Y,BCRP,Mini Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,12646.16492,521.305193,36.89719831,90.64712202,31.19535464,0.090565468,P68
69,Forest Park Golf Course,,2900 Hillsdale Rd,"2900 HILLSDALE RD, BALTIMORE, MD, 21207",180.7060477,Y,BCRP,Special Use - Facility,Y,,Gwynns Falls,8,Northwestern,41,Unknown,7871586.926,19920.24256,39.75295715,97.26537033,22.48638212,40.63457748,P69
70,Forrest Street Park,,1100 Forrest St Park,"1100 FORREST ST, BALTIMORE, MD, 21202",0.26596352,Y,BCRP,Mini Park,Y,,Patterson,12,Central,45,Unknown,11585.4173,438.2604138,30.56406371,34.5949374,7.080388706,0.018831402,P70
71,Fort Armistead Park,,4000 Hawkins Point Rd,"4000 HAWKINS POINT RD, BALTIMORE, MD, 21226",37.4173581,Y,BCRP,Citywide Park,Y,,Carroll,10,Southern,46,Unknown,1629906.639,6695.172135,43.91836704,84.23847148,82.54068882,30.88479219,P71
72,Fort Holabird Park,Cimaglia Park,6401 Beckley St,"6401 BECKLEY ST, BALTIMORE, MD, 21224",45.8035222,Y,BCRP,Citywide Park,Y,,Patterson,1,Southeastern,46,Unknown,1995209.407,12859.01156,45.29621542,89.62038438,39.31271604,18.00675267,P72
73,Fox Street Park,,310 W 28th St,"310 WEST 28TH ST, BALTIMORE, MD, 21211",0.046102182,Y,BCRP,Green Space,Y,,Druid Hill,14,Northern,43,Unknown,2008.218994,192.4903303,0.145461639,65.75835724,,,P73
74,Francis X. Gallagher Park,,3350 Dulany St,"3350 DULANY ST, BALTIMORE, MD, 21229",2.60742026,Y,BCRP,Green Space,Y,,Carroll,"9,10",Southwestern,41,Unknown,113579.6807,1377.473806,94.23912627,98.75211963,76.57366946,1.996613344,P74
75,Franklin Square Park,,1301 W Lexington St,"1301 WEST LEXINGTON ST, BALTIMORE, MD, 21223",2.94031754,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,128080.7443,1415.627265,49.73530881,82.09497992,73.88179955,2.17237689,P75
76,Garrett Park,,3560 3rd St,"3560 3RD ST, BALTIMORE, MD, 21225",7.79878544,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Yes,339716.4529,2375.777059,18.60171181,85.51427241,3.761516043,0.293354912,P76
77,Gateway Park,,101 Key Hwy,"101 KEY HWY, BALTIMORE, MD, 21230",0.617336133,Y,BCRP,Green Space,Y,,Carroll,11,Central,46,Unknown,26891.26953,827.9114562,23.18060976,78.14407471,1.744815951,0.010771465,P77
78,Greenspring Avenue Park,,2336 Druid Park Dr,"2336 DRUID PARK DR, BALTIMORE, MD, 21215",8.154557667,Y,BCRP,Forest,Y,,Druid Hill,6,Northern,40,Unknown,355213.9526,3281.426479,98.13685714,99.86068716,91.25082047,7.441160306,P78
79,Ridgley's Cove,Gwynns Falls Trail South,2100 Haines St,"2100 HAINES ST, BALTIMORE, MD, 21230",10.23128977,Y,BCRP,Green Space,Y,,Carroll,10,Southern,46,Unknown,445676.7645,6697.863118,55.21005803,92.2141543,53.75294234,5.499663288,P79
80,Hadley Square Park,,5 E 39th St,"5 EAST 39TH ST, BALTIMORE, MD, 21218",0.70107259,Y,BCRP,Green Space,Y,,Clifton,14,Northern,43,Unknown,30538.84442,1154.288323,50.21103277,97.81252542,27.68667887,0.194105269,P80
81,Hanlon Park,,2731 N Longwood St,"2731 NORTH LONGWOOD ST, BALTIMORE, MD, 21216",85.24175992,Y,BCRP,Citywide Park,Y,,Gwynns Falls,7,Northwestern,40,Unknown,3713145.915,10424.41677,32.40252703,97.56485607,60.57979592,51.63969732,P81
82,Harlem & Dennison Park,,3421 Harlem Ave,"3421 HARLEM AVE, BALTIMORE, MD, 21229",0.646040439,Y,BCRP,Green Space,Y,,Gwynns Falls,8,Southwestern,41,Unknown,28141.63409,735.6569221,13.68324183,81.50831853,17.90138031,0.115651081,P82
83,Harlem Inner Block Park A 84,Harlem Inner Block Parks,1808 1/2 W Lanvale St,"1808 1/2 WEST LANVALE ST, BALTIMORE, MD, 21217",0.220000262,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,9583.249695,699.0867457,61.50021121,76.35749787,3.019707406,0.006643417,P83
84,Harlem Inner Block Park D 87,Harlem Inner Block Parks,1511 W Lafayette Ave,"1511 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.292646239,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,12747.72107,437.3062801,26.36534516,90.41318743,64.7233011,0.189411822,P84
85,Harlem Inner Block Park F 90,Harlem Inner Block Parks,1215 W Lafayette Ave,"1215 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.248045938,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,10804.92438,753.1908699,76.32309418,94.58542996,55.92962417,0.138732271,P85
86,Harlem Inner Block Park H 96,Harlem Inner Block Parks,1801 W Lanvale St,"1801 WEST LANVALE ST, BALTIMORE, MD, 21217",0.245918408,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,10712.24847,825.9995177,56.80048317,66.84162159,0.103468673,0.000254451,P86
87,Harlem Inner Block Park K 101,Harlem Inner Block Parks,1300 Harlem Ave,"1300 HARLEM AVE, BALTIMORE, MD, 21217",0.254307789,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,11077.69165,609.1988645,93.54716137,97.0522986,61.99079462,0.15764868,P87
88,Harlem Inner Block Park L 102,Harlem Inner Block Parks,1201 W Lanvale St,"1201 WEST LANVALE ST, BALTIMORE, MD, 21217",0.347053675,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,15117.71863,911.7075733,90.58644482,95.57380289,56.12418891,0.194782618,P88
89,Harlem Inner Block Park N 104,Harlem Inner Block Parks,711 N Arlington Ave,"711 NORTH ARLINGTON AVE, BALTIMORE, MD, 21217",0.817655185,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,35617.20264,1180.260709,57.32598989,80.99292247,24.16825596,0.197614579,P89
90,Harlem Inner Block Park P 110,Harlem Inner Block Parks,610 N Vincent St,"610 NORTH VINCENT ST, BALTIMORE, MD, 21217",0.208180499,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,9068.378845,540.8889898,22.14638789,85.31711126,,,P90
91,Harlem Inner Block Park R 113,Harlem Inner Block Parks,1211 Harlem Ave,"1211 HARLEM AVE, BALTIMORE, MD, 21217",0.564556537,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,24592.18097,1121.232392,75.11939774,97.31278689,34.66154112,0.195685562,P91
92,Harlem Inner Block Park U 120,Harlem Inner Block Parks,1820 Lauretta Ave,"1820 LAURETTA AVE, BALTIMORE, MD, 21223",0.638062447,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,27794.11121,1300.80448,47.8362788,68.34155677,19.62952079,0.125249603,P92
93,Harlem Inner Block Park V 121,Harlem Inner Block Parks,1724 W Franklin St,"1724 WEST FRANKLIN ST, BALTIMORE, MD, 21223",0.770827103,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,33577.36285,1006.168392,41.27055585,82.00309393,61.04379975,0.470545918,P93
94,Harlem Inner Block Park W 122,Harlem Inner Block Parks,513 N Mount St,"513 NORTH MOUNT ST, BALTIMORE, MD, 21223",0.641201595,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,27930.85333,1039.804069,63.7991688,92.28905174,48.15880753,0.308797512,P94
95,Harlem Inner Block Park ZB 126,Harlem Inner Block Parks,1201 Edmondson Ave,"1201 EDMONDSON AVE, BALTIMORE, MD, 21223",0.321625483,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,14010.06201,456.8639579,99.52609803,99.97959509,85.54033955,0.275121731,P95
96,Harlem Square Park,,1500 Edmondson Ave,"1500 EDMONDSON AVE, BALTIMORE, MD, 21223",3.884787084,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Western,40,Unknown,169222.0023,1627.822189,59.7150378,93.51975323,74.63311788,2.899360919,P96
97,Harwood Avenue Park,Harwood Park,420 E 27th St,"420 EAST 27TH ST, BALTIMORE, MD, 21218",0.366425328,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Unknown,15961.55121,641.697963,53.60627527,66.9542691,0.231771558,0.000849276,P97
98,Heath Street Park,,1701 S Charles St,"1701 SOUTH CHARLES ST, BALTIMORE, MD, 21230",0.108571409,Y,BCRP,Green Space - Garden,Y,,Carroll,10,Southern,46,Unknown,4729.389465,309.947889,15.15905406,57.09127133,,,P98
99,Helen Mackall Park,,600 Braddish Ave,"600 BRADDISH AVE, BALTIMORE, MD, 21216",3.085168778,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Western,40,Unknown,134390.4895,1727.199742,22.29322886,90.11360197,8.788972485,0.271156804,P99
100,Henry H. Garnet Park,,415 W Lafayette Ave,"415 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.493669426,Y,BCRP,Mini Park,Y,,Druid Hill,11,Western,40,Yes,21504.32642,602.3034543,18.91472059,78.41608873,7.11551052,0.035127381,P100
101,Henry Street Park,,1240 Henry St,"1240 HENRY ST, BALTIMORE, MD, 21230",0.311314799,Y,BCRP,Green Space,Y,,Carroll,11,Southern,46,Unknown,13560.92688,471.4377377,38.01275949,87.61676929,14.94533751,0.04652742,P101
102,Herring Run Park,,Harford Rd & Argonne Dr,"HARFORD RD & ARGONNE DR, BALTIMORE, MD, 21214",387.9086084,Y,BCRP,Citywide Park,Y,,Clifton,"2,3,13,14",Eastern/Northeastern/Southeastern,43/45,Unknown,16897366.57,58420.75545,66.64343587,98.40620555,91.98917446,356.8367812,P102
103,Hilton Park,,3100 Phelps La,"3100 PHELPS LN, BALTIMORE, MD, 21229",8.468113567,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,368872.5024,2746.221406,42.03038574,90.15660648,21.1509096,1.791097374,P103
104,Hoes Heights Park,,1024 W 43rd St,"1024 WEST 43RD ST, BALTIMORE, MD, 21211",0.452277056,Y,BCRP,Mini Park,Y,,Druid Hill,14,Northern,40,Unknown,19701.2674,899.8066506,59.05357349,96.49823531,13.00070942,0.058799696,P104
105,Howard's Park,Howard & Centre Park,310 W Centre St,"310 WEST CENTRE ST, BALTIMORE, MD, 21201",0.628876096,Y,BCRP,Special Use - Facility,Y,,Carroll,11,Central,40,Unknown,27393.95233,870.5193927,44.17802856,75.84011497,8.070417468,0.050753332,P105
106,Howard St. Park,,N Howard St and Dolphin St,"N HOWARD ST & DRUID HILL AVE, BALTIMORE, MD, 21201",0.073995212,Y,BCRP,Green Space,Y,,Carroll,11,Central,40,Unknown,3223.244324,244.6440115,35.26420171,35.26420171,4.674981454,0.00345929,P106
107,Hudson & Potomac Street Park,Two Rivers Park,903 S Curley St,"903 SOUTH CURLEY ST, BALTIMORE, MD, 21224",0.080972495,Y,BCRP,Green Space,Y,,Patterson,1,Southeastern,46,Unknown,3527.175964,386.0610698,21.83527852,48.09291947,,,P107
108,Hull Street Park,,900 Hull St,"900 HULL ST, BALTIMORE, MD, 21230",0.069882693,Y,BCRP,Green Space,Y,,Carroll,11,Southern,46,Unknown,3044.102173,222.7114739,49.66708641,59.2862839,0.022745696,1.59E-05,P108
109,Hyde Park,,3214 Wylie Ave,"3214 WYLIE AVE, BALTIMORE, MD, 21215",0.874167943,Y,BCRP,Mini Park,Y,,Druid Hill,6,Northern,40,Unknown,38078.90784,802.1140587,47.13066386,94.55770667,45.30118837,0.396011635,P109
110,Indiana Ave Park,,2810 Indiana Ave,"2810 INDIANA ST, BALTIMORE, MD, 21230",1.059698232,Y,BCRP,Mini Park,Y,,Carroll,10,Southern,46,Unknown,46160.63959,976.3534614,20.81721417,94.56468562,20.5153246,0.217402271,P110
111,Irvin Luckman Park,,2809 Glen Ave,"2809 GLEN AVE, BALTIMORE, MD, 21215",6.099649623,Y,BCRP,Neighborhood Park,Y,,Druid Hill,5,Northwestern,41,Unknown,265701.8007,2250.440596,89.15419276,97.89257902,61.93374334,3.777771564,P111
112,Irvington Park,,342 Martingale Ave,"342 MARTINGALE AVE, BALTIMORE, MD, 21229",12.51775906,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,545275.7661,4721.624095,51.81599627,98.73820659,34.74767802,4.34966541,P112
113,Jack Paulsen Park,Lucille Park,4700 Reisterstown Rd,"4700 REISTERSTOWN RD, BALTIMORE, MD, 21215",6.72674218,Y,BCRP,Neighborhood Park,Y,,Druid Hill,6,Northern/Northwestern,40,Unknown,293018.0617,3540.088867,19.70702973,79.48982221,9.424124705,0.633941643,P113
114,Janney Street Park,,140 N Janney St,"140 NORTH JANNEY ST, BALTIMORE, MD, 21224",1.706870511,Y,BCRP/Pompeian INC,Mini Park,Partially,,Patterson,1,Southeastern,46,Unknown,74351.57672,1293.8826,43.8475229,81.75968026,57.8362314,0.987197476,P114
115,Johnston Square Park,,800 E Biddle St,"800 EAST BIDDLE ST, BALTIMORE, MD, 21202",3.018040742,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Central,45,Unknown,131466.3805,1443.747656,6.335112375,80.26522817,4.753350296,0.143459196,P115
116,Joseph E. Lee Park,,6200 E Pratt St,"6200 EAST PRATT ST, BALTIMORE, MD, 21224",24.31822145,Y,BCRP,Neighborhood Park,Y,,Patterson,2,Southeastern,46,Unknown,1059305.964,5150.225547,10.28831066,95.8078822,0.374193982,0.090998049,P116
117,Kevin & Woodridge Park,,4210 Woodridge Rd,"4210 WOODRIDGE RD, BALTIMORE, MD, 21229",0.582595569,Y,BCRP,Mini Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,25377.96454,640.6982763,15.85167734,80.73709962,17.2258874,0.10035806,P117
118,Keyes Park,,3401 Taylor Ave,"3401 TAYLOR AVE, BALTIMORE, MD, 21234",13.56946947,Y,BCRP,Neighborhood Park,Y,,Clifton,2,Northeastern,45,Unknown,591088.4547,4263.063387,50.84195371,95.39647929,27.39671513,3.717618636,P118
119,Keyworth Ave Park,,2610 Keyworth Ave (Rear),"2610 KEYWORTH AVE, BALTIMORE, MD, 21215 (REAR)",0.198876165,Y,BCRP,Mini Park,Y,,Druid Hill,6,Northern,40,Unknown,8663.080444,381.0364629,24.66879757,45.39712525,4.974829314,0.009893829,P119
120,Kimberleligh Road Park,,4714 Kimberleigh Rd,"4716 KIMBERLEIGH RD, BALTIMORE, MD, 21212",0.275160883,Y,BCRP,Mini Park,Y,,Clifton,4,Northeastern,43,Unknown,11986.05603,450.7954048,9.923629864,22.94184999,,,P120
121,King & Kennedy Park,Barclay Park/Calvert St Park,2209 Hunter St,"2209 HUNTER ST, BALTIMORE, MD, 21218",0.266262967,Y,BCRP,Neighborhood Park,Y,,Clifton,12,Eastern,43,Unknown,11598.4613,650.0660226,53.60156258,63.43188313,13.5449558,0.03606549,P121
122,Lafayette & Aiken Park,,1800 Aiken St,"1800 AIKEN ST, BALTIMORE, MD, 21213",0.159172475,Y,BCRP,Mini Park,Y,,Patterson,12,Eastern,45,Unknown,6933.58075,344.2726154,20.30997948,29.83309251,0.465709587,0.000741287,P122
123,Lafayette & Payson Park,,2001 W Lafayette Ave,"2001 WEST LAFAYETTE AVE, BALTIMORE, MD, 21217",0.399349885,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Western,40,Unknown,17395.75061,548.0991064,11.80994083,33.00655128,1.677079845,0.00669747,P123
124,Lafayette Square Park,,816 N Arlington Ave,"816 NORTH ARLINGTON AVE, BALTIMORE, MD, 21217",3.341774265,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Western,40,Unknown,145568.2693,1513.171917,65.29388227,93.07844648,61.13187823,2.042905718,P124
125,Lakeland Park,Wegworth Park,2761 Wegworth La,"2761 WEGWORTH LN, BALTIMORE, MD, 21230",12.54991635,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Yes,546676.5432,3139.633327,40.28397263,94.7939756,35.13688937,4.409685502,P125
126,Latrobe Park,,1529 Fort Ave,"1529 EAST FORT AVE, BALTIMORE, MD, 21230",18.05551864,Y,BCRP,Neighborhood Park,Y,,Carroll,11,Southern,46,Unknown,786501.538,4185.896906,23.29663682,86.23985734,2.288291952,0.413166285,P126
127,Lehigh & Gough Park,Gloria Hertzfelt Playground,4500 Gough St,"4500 GOUGH ST, BALTIMORE, MD, 21224",0.08631926,Y,BCRP,Mini Park,Y,,Patterson,1,Southeastern,46,Unknown,3760.08197,265.9863583,23.75596309,33.06916261,26.97086204,0.023281235,P127
128,Little Lithuania Park,,836 Hollins St,"836 HOLLINS ST, BALTIMORE, MD, 21201",0.788224563,Y,BCRP,Mini Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,34335.19922,752.2654565,49.89830058,89.24006016,16.77248195,0.13220588,P128
129,Lower Gwynns Falls Park,,525 Hurley Ave,"525 HURLEY AVE, BALTIMORE, MD, 21223",16.08991256,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,"9,10",Southwestern,40,Unknown,700879.3945,4182.147933,47.12914087,95.30384611,32.100515,5.164986116,P129
130,Luzerne Ave Park,,2601 E Biddle St (rear),"2601 EAST BIDDLE ST, BALTIMORE, MD, 21213 (REAR)",0.625463131,Y,BCRP,Mini Park,Y,,Patterson,13,Southeastern,45,Unknown,27245.28296,660.4913985,12.49987333,50.48637791,0.220216837,0.001377386,P130
131,Madison & Whitelock Park,,2325 Madison Ave,"2325 MADISON AVE, BALTIMORE, MD, 21217",0.367247148,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,15997.34973,521.2536526,23.32627701,28.44312323,0.850067136,0.003121872,P131
132,Madison Square Park,"Nathan C. Irby, Jr. Park ",1050 N Caroline St,"1050 NORTH CAROLINE ST, BALTIMORE, MD, 21205",4.625585299,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Central,45,Unknown,201491.3016,1806.90607,25.00891688,91.01461437,45.66646156,2.112358031,P132
133,Maisel Street Park,,1900 Maisel St,"1900 MAISEL ST, BALTIMORE, MD, 21230",6.854930082,Y,BCRP,Forest,Y,,Carroll,10,Southern,40,Unknown,298601.9491,3184.782409,79.45705851,91.152241,77.82359632,5.334795793,P133
134,Maple Leaf Park,,709 W North Ave,"709 WEST NORTH AVE, BALTIMORE, MD, 21217",1.294900667,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,56406.09863,1267.83809,62.92284613,86.06562544,74.24330768,0.961384778,P134
135,McMechen & Etting Park,,520 McMechen St,"520 MCMECHEN ST, BALTIMORE, MD, 21217",0.881402889,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,38394.0636,1532.687634,71.98689988,87.33958707,19.2489132,0.169661834,P135
136,Miles Ave Park,,2657 Miles Ave,"2657 MILES AVE, BALTIMORE, MD, 21211",0.065746834,Y,BCRP,Green Space,Y,,Druid Hill,12,Northern,43,Unknown,2863.943542,215.2607061,39.98338539,92.09624295,2.848168288,0.001872595,P136
137,Montebello Park,,2920 Harford Rd,"2920 HARFORD RD, BALTIMORE, MD, 21218",0.942298959,Y,BCRP,Mini Park,Y,,Clifton,14,Eastern,45,Unknown,41046.70679,813.4371611,44.10854561,87.8017713,2.313990124,0.021804879,P137
138,Montpelier & 30th Street Park,,801 Montpelier St (Rear),"801 MONTPELIER ST, BALTIMORE, MD, 21218 (REAR)",1.458361049,Y,BCRP,Green Space,Y,,Clifton,14,Northern,43,Unknown,63526.46161,1151.149413,35.6052106,97.99244962,9.874409058,0.144005688,P138
139,Moore's Run Park,,4901 Denview Way,"4901 DENVIEW WAY, BALTIMORE, MD, 21206",68.86005155,Y,BCRP,Forest,Y,,Clifton,2,Northeastern,45,Unknown,2999555.844,20369.4308,74.24009707,97.37246982,82.24605888,56.63513162,P139
140,Morrell Park,,2415 Tolley St,"2415 TOLLEY ST, BALTIMORE, MD, 21230",14.52653072,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,40,Unknown,632778.2093,4862.491733,51.07153336,86.6947346,24.07003724,3.496569326,P140
141,"Mosher, Franklintown & Rosedale",,N Franklintown Rd & Mosher St,"NORTH FRANKLINTOWN RD & MOSHER ST, BALTIMORE, MD, 21216",1.034614238,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Western,40,Unknown,45067.97675,1587.382609,27.77387863,88.77135345,83.74971906,0.86649345,P141
142,Mount Olivet & Phelps Lane,,2905 W Baltimore St,"2905 WEST BALTIMORE ST, BALTIMORE, MD, 21223",6.072218353,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,264506.8895,3918.977805,27.86365309,93.10037595,23.29976958,1.414824203,P142
143,Lady Baltimore Park,Mount Royal Terrace Park,Mount Royal Ter & Lennox St,"MOUNT ROYAL TER & LENNOX ST, BALTIMORE, MD, 21217",1.916871601,Y,BCRP,Green Space,Y,,Druid Hill,7,Western,40,Unknown,83499.26056,2288.29346,78.26129721,96.86799167,58.0871136,1.113464292,P143
144,Mount Vernon Square Park,Mount Vernon Place,1 W Mt Vernon Pl,"1 WEST MOUNT VERNON PL, BALTIMORE, MD, 21201",2.324502853,Y,BCRP,Civic Space,Y,,Carroll,11,Central,46,Unknown,101255.7491,2975.038414,47.56277275,74.82290246,44.91369808,1.044028545,P144
145,Mullan Park,,4000 Old York Rd,"4000 OLD YORK RD, BALTIMORE, MD, 21218",1.066142371,Y,BCRP,Neighborhood Park,Y,,Clifton,4,Northern,43,Unknown,46441.34735,1284.021435,32.97914068,92.11128478,47.77769341,0.509382308,P145
146,Mund Park,,2323 Greenmount Ave,"2323 GREENMOUNT AVE, BALTIMORE, MD, 21218",1.919159426,Y,BCRP,Neighborhood Park,Y,,Clifton,12,Eastern,43,Unknown,83598.91895,1260.541814,6.852517735,65.23585397,6.59725528,0.126612859,P146
147,Newington Avenue Park,,699 Newington Ave,"699 NEWINGTON AVE, BALTIMORE, MD, 21217",0.110790673,Y,BCRP,Mini Park,Y,,Druid Hill,7,Western,40,Unknown,4826.060974,322.0236267,90.26637069,98.99412711,,,P147
